COMPANY NAME ,NAME,RAZÓN SOCIAL,RUT,Dirección Facturación,Dirección Despacho,Comuna Despacho,Región Despacho,Horario Despacho,Precio Caja,diasCredito,Orden de compra (SI O NO),Unidad/Caja,EMAIL PEDIDO,EMAIL FACTURA,CENTRO DE NEGOCIOS ,VENDEDOR ,BANEADO,Precio Caja 90,Precio Caja Free,
Peya Market,Peya Market Belloto,DELIVERY HERO STORES CHILE SPA,77.125.361-K,Av. Las Condes 11415,araus 249,Quilpue,Valparaíso,09:00 - 15:00,$78.000,30,Revisar OC,CAJA,,mariajose@grupocentral.io,VENTAS ,FNASSAR,,41220 ,$85.800,
Peya Market,Peya Market Santiago,DELIVERY HERO STORES CHILE SPA,77.125.361-K,Av. Las Condes 11415,arturo prat 1242,Santiago Centro,Santiago,09:00 - 15:00,$78.000,30,Revisar OC,CAJA,,mariajose@grupocentral.io,VENTAS ,FNASSAR,,41220 ,$85.800,
Peya Market,Peya Market Las Condes,DELIVERY HERO STORES CHILE SPA,77.125.361-K,Av. Las Condes 11415,av las condes 11415,Las Condes,Santiago,09:00 - 15:00,$78.000,30,Revisar OC,CAJA,,mariajose@grupocentral.io,VENTAS ,FNASSAR,,41220 ,$85.800,
Peya Market,Peya Market San Miguel,DELIVERY HERO STORES CHILE SPA,77.125.361-K,Av. Las Condes 11415,av lo ovalle 020,San Miguel,Santiago,09:00 - 15:00,$78.000,30,Revisar OC,CAJA,,mariajose@grupocentral.io,VENTAS ,FNASSAR,,41220 ,$85.800,
Peya Market,Peya Market Departamental,DELIVERY HERO STORES CHILE SPA,77.125.361-K,Av. Las Condes 11415,av lo ovalle 020,San Miguel,Santiago,09:00 - 15:00,$78.000,30,Revisar OC,CAJA,,mariajose@grupocentral.io,VENTAS ,FNASSAR,,41220 ,$85.800,
Peya Market,Peya Market Manquehue,DELIVERY HERO STORES CHILE SPA,77.125.361-K,Av. Las Condes 11415,av manquehue norte 1207,Vitacura,Santiago,09:00 - 15:00,$78.000,30,Revisar OC,CAJA,,mariajose@grupocentral.io,VENTAS ,FNASSAR,,41220 ,$85.800,
Peya Market,Peya Market Maipu,DELIVERY HERO STORES CHILE SPA,77.125.361-K,Av. Las Condes 11415,blanco encalada 893,Maipu,Santiago,09:00 - 15:00,$78.000,30,Revisar OC,CAJA,,mariajose@grupocentral.io,VENTAS ,FNASSAR,,41220 ,$85.800,
Peya Market,Peya Market La Florida       ,DELIVERY HERO STORES CHILE SPA,77.125.361-K,Av. Las Condes 11415,diego portales 795,La Florida,Santiago,09:00 - 15:00,$78.000,30,Revisar OC,CAJA,,mariajose@grupocentral.io,VENTAS ,FNASSAR,,41220 ,$85.800,
Peya Market,Peya Market San Bernardo,DELIVERY HERO STORES CHILE SPA,77.125.361-K,Av. Las Condes 11415,eyzaguirre 310,San Bernardo,Santiago,09:00 - 15:00,$78.000,30,Revisar OC,CAJA,,mariajose@grupocentral.io,VENTAS ,FNASSAR,,41220 ,$85.800,
Peya Market,Peya Market Bilbao,DELIVERY HERO STORES CHILE SPA,77.125.361-K,Av. Las Condes 11415,la forja 8641,La Reina,Santiago,09:00 - 15:00,$78.000,30,Revisar OC,CAJA,,mariajose@grupocentral.io,VENTAS ,FNASSAR,,41220 ,$85.800,
Peya Market,Peya Market Estacion Central,DELIVERY HERO STORES CHILE SPA,77.125.361-K,Av. Las Condes 11415,libertad 22 local c-3,Estacion Central,Santiago,09:00 - 15:00,$78.000,30,Revisar OC,CAJA,,mariajose@grupocentral.io,VENTAS ,FNASSAR,,41220 ,$85.800,
Peya Market,Peya Market Providencia,DELIVERY HERO STORES CHILE SPA,77.125.361-K,Av. Las Condes 11415,luis thayer ojeda 88,Providencia,Santiago,09:00 - 15:00,$78.000,30,Revisar OC,CAJA,,mariajose@grupocentral.io,VENTAS ,FNASSAR,,41220 ,$85.800,
Peya Market,Peya Market Viña del Mar,DELIVERY HERO STORES CHILE SPA,77.125.361-K,Av. Las Condes 11415,quillota 874,Viña del Mar,Valparaíso,09:00 - 15:00,$78.000,30,Revisar OC,CAJA,,mariajose@grupocentral.io,VENTAS ,FNASSAR,,41220 ,$85.800,
Key Logistics,Key Logistics (ESMAX),KEYLOGISTICS CHILE S A,96.930.440-6,Pio XI 1290,"av lo espejo 01740, Bodega 3",San Bernardo,Santiago,08:00 - 13:00,$79.200,30,Revisar OC,CAJA,,jhonlly.sulbaran@keylogistics.cl,VENTAS ,FNASSAR,BAN,41220 ,$87.120,
Key Logistics,Key Logistics (OXXO),KEYLOGISTICS CHILE S A,96.930.440-6,Pio XI 1290,lago riñihue 2319,San Bernardo,Santiago,08:00 - 13:00,$84.480,30,Revisar OC,UNIDAD,,jhonlly.sulbaran@keylogistics.cl,VENTAS ,FNASSAR,BAN,41220 ,$92.928,
D'Fab,D' Fab NLC,AQUITANIA FOODS SPA,77.393.794-k,Jose Alcalde Delano 10581. Lo Barnechea,av presidente riesco 5537,Las Condes,Santiago,08:30 - 17:00,$61.200,30,,CAJA,,ladehesa@dfab.cl  /  fcarey@dfab.cl,VENTAS ,FNASSAR,,41220 ,$67.320,
D'Fab,D' Fab Titanium,AQUITANIA FOODS SPA,77.393.794-k,Jose Alcalde Delano 10581. Lo Barnechea,av vitacura 2874 local 103a,Las Condes,Santiago,10:00 - 18:00,$61.200,30,,CAJA,,ladehesa@dfab.cl  /  fcarey@dfab.cl,VENTAS ,FNASSAR,,41220 ,$67.320,
D'Fab,D' Fab La Dehesa,AQUITANIA FOODS SPA ,77.393.794-k,Jose Alcalde Delano 10581. Lo Barnechea,josé alcalde délano 10581,Lo Barnechea,Santiago,08:00 - 17:00,$61.200,30,,CAJA,,Proveedores@fab.cl,VENTAS ,FNASSAR,,41220 ,$67.320,
D'Fab,D' Fab Los Militares,AQUITANIA FOODS SPA,77.393.794-k,Jose Alcalde Delano 10581. Lo Barnechea,los militares 4765 local 102,Las Condes,Santiago,08:00 - 17:00,"$61,200",30,,CAJA,,ladehesa@dfab.cl  /  fcarey@dfab.cl,VENTAS ,FJAMIS,,41220 ,$ 84.960,
Comercial Binder,Comercial Binder,COMERCIAL BINDER LTDA,77.644.820-6,PARQUE SAN JOAQUIN 8,camino a melipilla 11030,Maipu,Santiago,11:30 - 13:00,$67.200,30,Revisar OC,CAJA,,vzapata@cbinder.cl,VENTAS ,FNASSAR,,41220 ,$73.920,
Get It,Get It Agustinas,CONVENIENCE DE CHILE SPA,76.865.177-9,NUEVA DE LYON 135 LC 102,agustinas 673,Santiago Centro,Santiago,10:00 - 20:00,"$70,800",30,,CAJA,,davidcayuleo@getitchile.cl,VENTAS ,FJAMIS,,41220 ,77880,
Get It,Get It La Concepción,CONVENIENCE DE CHILE SPA,76.865.177-9,NUEVA DE LYON 135 LC 102,La Concepción 311,Providencia,Santiago,10:00 - 20:00,"$70,800",30,,,,davidcayuleo@getitchile.cl,VENTAS ,FJAMIS,,41220 ,77880,
Get It,Get It Alameda,CONVENIENCE DE CHILE SPA,76.865.177-9,NUEVA DE LYON 135 LC 102,alameda 640 local 3,Santiago Centro,Santiago,09:00 - 20:01,"$70,800",30,,CAJA,,davidcayuleo@getitchile.cl,VENTAS ,FJAMIS,,41220 ,77880,
Get It,Get It Barros Errazuriz,CONVENIENCE DE CHILE SPA,76.865.177-9,NUEVA DE LYON 135 LC 102,alfredo barros errázuriz 1954,Providencia,Santiago,08:00 - 21:00,"$70,800",30,,CAJA,,davidcayuleo@getitchile.cl,VENTAS ,FJAMIS,,41220 ,77880,
Get It,Get It Pastene,CONVENIENCE DE CHILE SPA,76.865.177-9,NUEVA DE LYON 135 LC 102,almirante pastene 96,Providencia,Santiago,09:00 - 20:00,"$70,800",30,,CAJA,,davidcayuleo@getitchile.cl,VENTAS ,FJAMIS,,41220 ,77880,
Get It,Get It Apoquindo,CONVENIENCE DE CHILE SPA,76.865.177-9,NUEVA DE LYON 135 LC 102,apoquindo 4499 local 102,Las Condes,Santiago,Hasta las 20 hs,"$70,800",30,,CAJA,,davidcayuleo@getitchile.cl,VENTAS ,FJAMIS,,41220 ,77880,
Get It,Get It Apoquindo II,CONVENIENCE DE CHILE SPA,76.865.177-9,NUEVA DE LYON 135 LC 102,av apoquindo #4821,Las Condes,Santiago,09:00 - 20:00,"$70,800",30,,CAJA,,davidcayuleo@getitchile.cl,VENTAS ,FNASSAR,,41220 ,$77.880,
Get It,Get It Kennedy,CONVENIENCE DE CHILE SPA,76.865.177-9,NUEVA DE LYON 135 LC 102,av kennedy 5488 local 101,Vitacura,Santiago,09:00 - 20:00,"$70,800",30,,CAJA,,davidcayuleo@getitchile.cl,VENTAS ,FJAMIS,,41220 ,77880,
Get It,Get it Marriot,CONVENIENCE DE CHILE SPA,76.865.177-9,NUEVA DE LYON 135 LC 102,av kennedy 5753 local 02 (entrada hotel marriott),Las Condes,Santiago,07:00 - 20:00,"$70,800",30,,CAJA,,davidcayuleo@getitchile.cl,VENTAS ,FJAMIS,,41220 ,77880,
Get It,Get It Santiago Centro,CONVENIENCE DE CHILE SPA,76.865.177-9,NUEVA DE LYON 135 LC 102,av libertador bernardo o'higgins 640,Santiago Centro,Santiago,10:00 - 20:00,"$70,800",30,,CAJA,,davidcayuleo@getitchile.cl,VENTAS ,FJAMIS,,41220 ,77880,
Get It,Get It Militares,CONVENIENCE DE CHILE SPA,76.865.177-9,NUEVA DE LYON 135 LC 102,av los militares 5890,Las Condes,Santiago,07:00 - 20:00,"$70,800",30,,CAJA,,davidcayuleo@getitchile.cl,VENTAS ,FJAMIS,,41220 ,77880,
Get It,Get It Ebro,CONVENIENCE DE CHILE SPA,76.865.177-9,NUEVA DE LYON 135 LC 102,ebro 2794,Las Condes,Santiago,10:00 - 20:00,"$70,800",30,,CAJA,,davidcayuleo@getitchile.cl,VENTAS ,FJAMIS,,41220 ,77880,
Get It,GET IT Guardia Vieja,CONVENIENCE DE CHILE SPA,76.865.177-9,NUEVA DE LYON 135 LC 102,guardia vieja 250,Providencia,Santiago,09:00 - 20:00,"$70,800",30,,CAJA,,davidcayuleo@getitchile.cl,VENTAS ,FJAMIS,,41220 ,77880,
Get It,Get It Nueva de Lyon,CONVENIENCE DE CHILE SPA,76.865.177-9,NUEVA DE LYON 135 LC 102,nueva de lyon 135 local 102,Providencia,Santiago,12:00 - 20:00,"$70,800",30,,CAJA,,davidcayuleo@getitchile.cl,VENTAS ,FJAMIS,,41220 ,77880,
Get It,Get It Orrego Luco,CONVENIENCE DE CHILE SPA,76.865.177-9,NUEVA DE LYON 135 LC 102,orrego luco 013,Providencia,Santiago,07:00 - 20:00,"$70,800",30,,CAJA,,davidcayuleo@getitchile.cl,VENTAS ,FJAMIS,,41220 ,77880,
Get It,Get It Pio X,CONVENIENCE DE CHILE SPA,76.865.177-9,NUEVA DE LYON 135 LC 102,pio x 2451,Providencia,Santiago,08:00 - 21:00,"$70,800",30,,CAJA,,davidcayuleo@getitchile.cl,VENTAS ,FJAMIS,,41220 ,77880,
Get It,Get It San Martin,CONVENIENCE DE CHILE SPA,76.865.177-9,NUEVA DE LYON 135 LC 102,san martín 35,Santiago Centro,Santiago,10:00 - 20:00,"$70,800",30,,CAJA,,davidcayuleo@getitchile.cl,VENTAS ,FJAMIS,,41220 ,77880,
Get It,Get It Suecia,CONVENIENCE DE CHILE SPA,76.865.177-9,NUEVA DE LYON 135 LC 102,suecia 0130,Providencia,Santiago,09:00 - 20:00,"$70,800",30,,CAJA,,davidcayuleo@getitchile.cl,VENTAS ,FJAMIS,,41220 ,77880,
Get It,Get It Vitacura I,CONVENIENCE DE CHILE SPA,76.865.177-9,NUEVA DE LYON 135 LC 102,vitacura 2909 local 2-a,Las Condes,Santiago,09:00 - 20:00,"$70,800",30,,CAJA,,davidcayuleo@getitchile.cl,VENTAS ,FJAMIS,,41220 ,77880,
